{re = 8.28421307, im = 0}
{re = -0.35424161, im = 0.736336589}
{re = -0.344863772, im = -0.159368575}
{re = -0.43440789, im = -2.23739147}
{re = -0.344453335, im = 0.0529328585}
{re = -0.345544308, im = -0.250701785}
{re = -0.348376244, im = 0.467801213}
{re = -0.380324334, im = 1.40908682}
{re = -0.344529361, im = -0.0835286379}
{re = -0.350171357, im = -0.563699007}
{re = -0.345188767, im = 0.208086461}
{re = -3.40803671, im = -15.1165009}
{re = -0.344404221, im = 0.0105075836}
{re = -0.346286535, im = -0.322040856}
{re = -0.346810579, im = 0.364137948}
{re = -0.354898781, im = -0.760652661}
{re = -0.344834656, im = 0.154285967}
{re = -0.35927549, im = 0.905569196}
{re = -0.344707042, im = -0.129658252}
{re = -0.384488672, im = -1.48887861}
{re = -0.344516069, im = 0.0790897608}
{re = -0.345233351, im = -0.213884652}
{re = -0.349862784, im = 0.548400104}
{re = -0.421247721, im = 2.06580138}
{re = -0.344461799, im = -0.0572431087}
{re = -0.348587275, im = -0.480062515}
{re = -0.345487237, im = 0.244303197}
{re = -0.473125935, im = -2.68163323}
{re = -0.34443897, im = 0.0443601608}
{re = -0.345666677, im = -0.263853282}
{re = -0.347990066, im = 0.444470376}
{re = -0.350855798, im = -0.596237898}
{re = -0.345105559, im = 0.196744174}
{re = -0.373680353, im = 1.27162349}
{re = -0.344557881, im = -0.092487216}
{re = -0.837006927, im = 5.35376835}
{re = -0.344411939, im = -0.0231430531}
{re = -0.347195029, im = -0.392125636}
{re = -0.346026778, im = 0.299059898}
{re = -0.363173395, im = -1.01758075}
{re = -0.344644159, im = 0.115438044}
{re = -0.35307762, im = 0.691362977}
{re = -0.344925433, im = -0.169713289}
{re = -23.4541664, im = 68.4028015}
{re = -0.344403267, im = -0.00630187988}
{re = -0.346696377, im = -0.355294228}
{re = -0.346379757, im = 0.33005619}
{re = -0.358223855, im = -0.872961938}
{re = -0.344730437, im = 0.134485662}
{re = -0.355621934, im = 0.786339283}
{re = -0.344807029, im = -0.14925766}
{re = -0.410744607, im = -1.91827464}
{re = -0.34446913, im = 0.0615710616}
{re = -0.345431626, im = -0.238015205}
{re = -0.348811805, im = 0.492753774}
{re = -0.389393389, im = 1.5777626}
{re = -0.344505012, im = -0.074677527}
{re = -0.349573612, im = -0.533692479}
{re = -0.345278978, im = 0.219772547}
{re = -0.691033185, im = -4.45491982}
{re = -0.34441632, im = 0.0273673534}
{re = -0.345948428, im = -0.291728199}
{re = -0.347335547, im = 0.401982725}
{re = -0.352561682, im = -0.670515537}
{re = -0.344958693, im = 0.174980611}
{re = -0.364789873, im = 1.06058574}
{re = -0.344625443, im = -0.110776663}
